id,name,latitude,longitude,pm25_avg,pm10_avg,risk_category_pm25,risk_category_pm10,pm25_normalized,pm10_normalized,region,risk_score
17,"R K Puram, Delhi - DPCC",28.563262,77.186937,117.44,217.33,Unhealthy,Very Unhealthy,0.77,0.58,North,67.5
50,"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,123.52,218.71,Very Unhealthy,Very Unhealthy,0.83,0.59,North,71.0
103,"Income Tax Office, Delhi - CPCB",28.623499999999996,77.2494,141.59,221.33,Very Unhealthy,Very Unhealthy,1.0,0.6,North,80.0
235,"Anand Vihar, New Delhi - DPCC",28.646835,77.316032,129.0,318.64,Very Unhealthy,Hazardous,0.88,1.0,North,94.0
236,"Mandir Marg, Delhi - DPCC",28.6341,77.2005,113.03,209.49,Unhealthy,Very Unhealthy,0.73,0.55,North,64.0
301,"Vikas Sadan, Gurugram - HSPCB",28.4501238,77.0263051,114.57,113.32,Unhealthy,Unhealthy,0.75,0.15,North,45.0
346,"MD University, Rohtak - HSPCB",28.876028,76.619464,89.97,77.44,Unhealthy for sensitive groups,Unhealthy for sensitive groups,0.52,0.0,North,26.0
407,"Zoo Park, Hyderabad - TSPCB",17.349694,78.451437,54.74,109.53,Moderate,Unhealthy,0.19,0.13,South,16.0
697,"Haldia, Haldia - WBPCB",22.06047,88.109737,41.51,81.88,Moderate,Unhealthy for sensitive groups,0.06,0.02,East,4.0
703,Collectorate Jodhpur - RSPCB,26.2920639,73.0379111111111,90.8,200.21,Unhealthy,Very Unhealthy,0.53,0.51,West,52.0
716,"Rabindra Bharati University, Kolkata - WBSPCB",22.627875,88.3804,34.6,143.99,Moderate,Very Unhealthy,0.0,0.28,East,14.0
854,Chandrapur,19.95,79.3,64.74,135.76,Unhealthy for sensitive groups,Very Unhealthy,0.28,0.24,South,26.0
860,"Sanjay Palace, Agra - UPPCB",27.19865833,78.00598056,52.38,128.36,Moderate,Very Unhealthy,0.17,0.21,North,19.0
